_ID_;_MAIN_CATEGORY_;_NAME_;_MODEL_;_SKU_;_EAN_;_JAN_;_ISBN_;_MPN_;_UPC_;_MANUFACTURER_;_LOCATION_;_PRICE_;_QUANTITY_;_LENGTH_;_SEO_KEYWORD_;_DISCOUNT_;_SPECIAL_;_RELATED_ISBN_;_URL_
62;;"Коробка передач четкая";13123;;;;;;;;;100.0000;1;0;korobka-peredach-chetkaya;;;;https://d4.by/index.php?route=product/product&product_id=62
63;Citroen|Jumper;"Дверь задняя левая Citroen, 2006 (21630710)";21630710;;;2,2;дизель;;МКПП;"Дверь задняя левая";;225.0000;1;2006;dver-zadnyaya-levaya-citroen-2006-21630710;;;;https://d4.by/citroen/jumper/dver-zadnyaya-levaya-citroen-2006-21630710
64;"Chrysler|Grand Voyager";"Двигатель Chrysler, 2001 (21630797)";21630797;;;2,5;дизель;CRDi;МКПП;Двигатель;;335.0000;1;2001;dvigatel-chrysler-2001-21630797;;;;https://d4.by/chrysler/grand-voyager/dvigatel-chrysler-2001-21630797
65;Volvo|V70;"Фара передняя (комплект) Volvo, 2011 (22162361)";22162361;;;2,4;дизель;;;"Фара передняя (комплект)";;115.0000;1;2011;fara-perednyaya-komplekt-volvo-2011-22162361;;;;https://d4.by/volvo/v70/fara-perednyaya-komplekt-volvo-2011-22162361
66;Volvo|V70;"Форсунка Volvo, 2011 (22162372)";22162372;;;2,4;дизель;;;Форсунка;;50.0000;1;2011;forsunka-volvo-2011-22162372;;;;https://d4.by/volvo/v70/forsunka-volvo-2011-22162372
67;Volvo|V70;"Форсунка Volvo, 2009 (22162382)";22162382;;;2,4;дизель;;;Форсунка;;45.0000;1;2009;forsunka-volvo-2009-22162382;;;;https://d4.by/volvo/v70/forsunka-volvo-2009-22162382
68;Volvo|V70;"Щиток приборов (приборная панель) Volvo, 2009 (22162397)";22162397;;;2,4;дизель;TDi;;"Щиток приборов (приборная панель)";;35.0000;1;2009;shitok-priborov-pribornaya-panel-volvo-2009-22162397;;;;https://d4.by/volvo/v70/shitok-priborov-pribornaya-panel-volvo-2009-22162397
69;"BMW|5 E39";"Фонари задние (комплект) BMW, 1998 (22163010)";22163010;;;;;;;"Фонари задние (комплект)";;15.0000;1;1998;fonari-zadnie-komplekt-bmw-1998-22163010;;;;https://d4.by/bmw/5-e39/fonari-zadnie-komplekt-bmw-1998-22163010
70;Peugeot|307;"Блок управления печки/климат-контроля Peugeot, 2007 (22163037)";22163037;;;;;;;"Блок управления печки/климат-контроля";;10.0000;1;2007;blok-upravleniya-pechkiklimat-kontrolya-peugeot-2007-2216303;;;;https://d4.by/peugeot/307/blok-upravleniya-pechkiklimat-kontrolya-peugeot-2007-2216303
71;Renault|Master;"Щиток приборов (приборная панель) Renault, 2007 (22163114)";22163114;;;2,2;дизель;DCi;;"Щиток приборов (приборная панель)";;20.0000;1;2007;shitok-priborov-pribornaya-panel-renault-2007-22163114;;;;https://d4.by/renault/master/shitok-priborov-pribornaya-panel-renault-2007-22163114
72;Ford|Galaxy;"Щиток приборов (приборная панель) Ford, 2002 (22163129)";22163129;;;1,9;дизель;TDi;;"Щиток приборов (приборная панель)";;20.0000;1;2002;shitok-priborov-pribornaya-panel-ford-2002-22163129;;;;https://d4.by/ford/galaxy/shitok-priborov-pribornaya-panel-ford-2002-22163129
73;Opel|Astra;"Щиток приборов (приборная панель) Opel, 2006 (22163207)";22163207;;;1,9;дизель;;;"Щиток приборов (приборная панель)";;22.0000;1;2006;shitok-priborov-pribornaya-panel-opel-2006-22163207;;;;https://d4.by/opel/astra/shitok-priborov-pribornaya-panel-opel-2006-22163207
74;"Renault|Vel Satis";"Блок розжига ксенона Renault, 2005 (22163237)";22163237;;;;;;;"Блок розжига ксенона";;25.0000;1;2005;blok-rozzhiga-ksenona-renault-2005-22163237;;;;https://d4.by/renault/vel-satis/blok-rozzhiga-ksenona-renault-2005-22163237
75;Ford|Transit;"Щиток приборов (приборная панель) Ford, 2008 (22163404)";22163404;;;2,2;дизель;;;"Щиток приборов (приборная панель)";;20.0000;1;2008;shitok-priborov-pribornaya-panel-ford-2008-22163404;;;;https://d4.by/ford/transit/shitok-priborov-pribornaya-panel-ford-2008-22163404
76;"Mercedes|E W210";"Щиток приборов (приборная панель) Mercedes, 1998 (22163405)";22163405;;;2,2;дизель;DCi;;"Щиток приборов (приборная панель)";;20.0000;1;1998;shitok-priborov-pribornaya-panel-mercedes-1998-22163405;;;;https://d4.by/mercedes/e-w210/shitok-priborov-pribornaya-panel-mercedes-1998-22163405
